,movie,plot,year,ratings,stars,runtime,genre,director,cast
40,Dune,"A three-part miniseries on politics, betrayal, lust, greed and the coming of a Messiah. Based on Frank Herbert's classic science fiction novel.",2000,,7,265.0,"Adventure, Drama, Sci-Fi",,"William Hurt, Alec Newman, Giancarlo Giannini, Uwe Ochsenknecht"
41,Legends of Tomorrow,"Time-travelling rogue Rip Hunter has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.",2016,A,6.8,42.0,"Action, Adventure, Drama",,"Caity Lotz, Amy Louise Pemberton, Dominic Purcell, Nick Zano"
42,Mortal Kombat,MMA fighter Cole Young seeks out Earth's greatest champions in order to stand against the enemies of Outworld in a high stakes battle for the universe.,2021,A,6.1,110.0,"Action, Adventure, Fantasy",Simon McQuoid,"Lewis Tan, Jessica McNamee, Josh Lawson, Joe Taslim"
43,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.",2017,UA,8,164.0,"Drama, Mystery, Sci-Fi",Denis Villeneuve,"Harrison Ford, Ryan Gosling, Ana de Armas, Dave Bautista"
44,The Handmaid's Tale,"Set in a dystopian future, a woman is forced to live as a concubine under a fundamentalist theocratic dictatorship.",2017,A,8.4,60.0,"Drama, Sci-Fi, Thriller",,"Elisabeth Moss, Yvonne Strahovski, Joseph Fiennes, Ann Dowd"
45,Lost,The survivors of a plane crash are forced to work together in order to survive on a seemingly deserted tropical island.,2004–2010,A,8.3,44.0,"Adventure, Drama, Fantasy",,"Jorge Garcia, Josh Holloway, Yunjin Kim, Evangeline Lilly"
46,Avengers: Endgame,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.",2019,UA,8.4,181.0,"Action, Adventure, Drama",":Anthony Russo, Joe Russo","Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth"
47,The Matrix Resurrections,The plot is currently unknown.,2021,R,,148.0,"Action, Sci-Fi",Lana Wachowski,"Keanu Reeves, Christina Ricci, Carrie-Anne Moss, Jessica Henwick"
48,Moonfall,"In Moonfall, a mysterious force knocks the Moon from its orbit around Earth and sends it hurtling on a collision course with life as we know it. With mere weeks before impact and the world ...                See full summary »",2022,,,,"Action, Adventure, Fantasy",Roland Emmerich,"Halle Berry, Patrick Wilson, John Bradley, Michael Peña"
49,Venom,"A failed reporter is bonded to an alien entity, one of many symbiotes who have invaded Earth. But the being takes a liking to Earth and decides to protect it.",2018,UA,6.7,112.0,"Action, Adventure, Sci-Fi",Ruben Fleischer,"Tom Hardy, Michelle Williams, Riz Ahmed, Scott Haze"
